index,x_m,y_m,z_m,yaw_rad,is_print,layer,seg_id,feed_m_s,de,pos_error_m,rot_error_rad,q1,q2,q3,q4,q5,q6,q7
0,0.4204879374118668,-0.04761297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.0,0.020687593496840025,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
1,0.4213789374118668,-0.048516972339733164,0.10026,-3.141592653589793,1,0,0,0.02,0.11551,0.020312954261058436,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
2,0.4223769374118668,-0.04932897233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11707999999999999,0.019970584048827546,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
3,0.4234309374118668,-0.05000797233973316,0.10026,-3.141592653589793,1,0,0,0.02,0.11409,0.019678592963007058,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
4,0.4244459374118668,-0.050510972339733166,0.10026,-3.141592653589793,1,0,0,0.02,0.10308,0.01945276663950929,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
5,0.4251249374118668,-0.050793972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.06695000000000001,0.019330606188433845,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
6,0.4262769374118668,-0.05115697233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.10990999999999995,0.019168993730231364,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
7,0.4274649374118668,-0.05139297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.1102200000000001,0.019058925985177846,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
8,0.4283619374118668,-0.05148997233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.08209999999999995,0.019013190793520474,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
9,0.4293149374118668,-0.051515972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.08675999999999995,0.018998659574092604,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
10,0.4305559374118668,-0.05143497233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11316999999999999,0.019032716145368687,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
11,0.4318249374118668,-0.05120497233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11736000000000013,0.019129043673669983,0.031862426074306796,-0.7968104614802257,1.7623882004614488,-1.651898692420808,-1.9248616998308077,-0.2359482558703172,1.9113206197316073,-0.1705265007949271
