index,x_m,y_m,z_m,yaw_rad,is_print,layer,seg_id,feed_m_s,de,material,extrusion_volume_mm3,extrusion_mass_g,pos_error_m,rot_error_rad,ik_iterations,jacobian_manipulability,jacobian_min_singular_value,time_from_start_s,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint_velocity_rad_s,shoulder_lift_joint_velocity_rad_s,elbow_joint_velocity_rad_s,wrist_1_joint_velocity_rad_s,wrist_2_joint_velocity_rad_s,wrist_3_joint_velocity_rad_s,shoulder_pan_joint_acceleration_rad_s2,shoulder_lift_joint_acceleration_rad_s2,elbow_joint_acceleration_rad_s2,wrist_1_joint_acceleration_rad_s2,wrist_2_joint_acceleration_rad_s2,wrist_3_joint_acceleration_rad_s2
0,0.4204879374118668,-0.04761297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.0,PLA,0.0,0.0,0.00011080780511068337,0.00043573547929807527,33,0.05030668195743468,0.22768159123786133,0.0,0.20784052708307224,-1.6166501911915867,-2.291489021966177,-0.8045753698343888,1.5705119918962134,0.207895364049626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4213789374118668,-0.048516972339733164,0.10026,-3.141592653589793,1,0,0,0.02,0.11551,PLA,0.2778341094279952,0.000344514295690714,0.001267210116826109,0.00043573547929807527,1,0.05030668195743468,0.22768159123786133,0.063464497949642,0.20784052708307224,-1.6166501911915867,-2.291489021966177,-0.8045753698343888,1.5705119918962134,0.207895364049626,0.0,0.0,0.0,0.0,0.0,0.0,-1.264672348444523,-1.2406736392210673,1.3209841520337817,-0.07920311059315292,0.015981775679135987,-1.2728597585420158
2,0.4223769374118668,-0.04932897233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.11707999999999999,PLA,0.2816104019723805,0.00034919689844575185,0.0001211516443163585,0.0003890048289249227,2,0.05082957175323672,0.2289574323555722,0.12779466194756778,0.2026420587908129,-1.6217500121708825,-2.2860590825535136,-0.8049009362623836,1.5705776853971618,0.2026632411970848,-0.08080918762195223,-0.07927573415575748,0.0844073615736258,-0.005060867371723901,0.001021192810118522,-0.08133234127476983,1.2723950864773557,1.2482498288260113,-1.329050758822669,0.07968676541113698,-0.016079368598773448,1.280632493100374
3,0.4234309374118668,-0.05000797233973316,0.10026,-3.141592653589793,1,0,0,0.02,0.11409,PLA,0.2744186091649205,0.0003402790753645014,0.0011967430870336593,0.0003890048289249227,1,0.05082957175323672,0.2289574323555722,0.19048351661887253,0.2026420587908129,-1.6217500121708825,-2.2860590825535136,-0.8049009362623836,1.5705776853971618,0.2026632411970848,0.0,0.0,0.0,0.0,0.0,0.0,-1.1537895117081785,-1.5343400585161435,1.6565379787046663,-0.12156599949740496,0.004006956667948314,-1.1574681667981934
4,0.4244459374118668,-0.050510972339733166,0.10026,-3.141592653589793,1,0,0,0.02,0.10308,PLA,0.24793645571671497,0.0003074412050887266,0.0001222208056265681,0.0003792742905796246,2,0.05136840725821167,0.23024494952374489,0.24712347601151288,0.19874295452419108,-1.626935144994418,-2.280460995350393,-0.8053117551357626,1.570591226464819,0.19875170532174113,-0.06884016705577763,-0.09154548977676777,0.09883635622535629,-0.0072531632752617405,0.00023907269359594465,-0.06905965183039851,1.4737664311118224,1.959853898137331,-2.115940594105734,0.15527952664311098,-0.005118193715766333,1.4784652763763075
5,0.4251249374118668,-0.050793972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.06695000000000001,PLA,0.1610336215583437,0.00019968169073234619,0.0006724887988380101,0.0003792742905796246,1,0.05136840725821167,0.23024494952374489,0.28390424544337695,0.19874295452419108,-1.626935144994418,-2.280460995350393,-0.8053117551357626,1.570591226464819,0.19875170532174113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4262769374118668,-0.05115697233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.10990999999999995,PLA,0.2643645309257288,0.00032781201834790373,0.0018728738273413993,0.0003792742905796246,1,0.05136840725821167,0.23024494952374489,0.34429615301384475,0.19874295452419108,-1.626935144994418,-2.280460995350393,-0.8053117551357626,1.570591226464819,0.19875170532174113,0.0,0.0,0.0,0.0,0.0,0.0,-0.974406189054724,-1.979885650939584,2.1509557152247614,-0.1648051663397295,-0.0011200699277537473,-0.9751760447005791
7,0.4274649374118668,-0.05139297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.1102200000000001,PLA,0.26511016830710465,0.0003287366087008098,0.00011203592123428561,0.00036248966461363666,2,0.052127674665687296,0.2320046040026684,0.40485686635178464,0.19517420306132555,-1.6341864534245827,-2.2725831447768923,-0.8059153521624125,1.570587124221588,0.1951801342714251,-0.05892849119777113,-0.11973617929004575,0.13008186560717674,-0.009966808404018188,-6.77376966812533e-05,-0.058975049226814784,1.1153075036417768,2.2661815448727483,-2.461988723120283,0.18863636204522152,0.0012820345447919761,1.1161886821361129
8,0.4283619374118668,-0.05148997233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.08209999999999995,PLA,0.19747364197072453,0.0002448673160436984,0.0008468669640140416,0.00036248966461363666,1,0.052127674665687296,0.2320046040026684,0.44996833939357206,0.19517420306132555,-1.6341864534245827,-2.2725831447768923,-0.8059153521624125,1.570587124221588,0.1951801342714251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4293149374118668,-0.051515972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.08675999999999995,PLA,0.20868225551011035,0.0002587659968325368,0.0017963547199102254,0.00036248966461363666,1,0.052127674665687296,0.2320046040026684,0.49763606956818995,0.19517420306132555,-1.6341864534245827,-2.2725831447768923,-0.8059153521624125,1.570587124221588,0.1951801342714251,0.0,0.0,0.0,0.0,0.0,0.0,-0.4619753544597324,-2.1006200448177808,2.310496079714488,-0.20943891009720758,0.00601890386035968,-0.4675992076162756
