index,x_m,y_m,z_m,yaw_rad,is_print,layer,seg_id,feed_m_s,de,material,extrusion_volume_mm3,extrusion_mass_g,pos_error_m,rot_error_rad,ik_iterations,jacobian_manipulability,jacobian_min_singular_value,time_from_start_s,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint_velocity_rad_s,shoulder_lift_joint_velocity_rad_s,elbow_joint_velocity_rad_s,wrist_1_joint_velocity_rad_s,wrist_2_joint_velocity_rad_s,wrist_3_joint_velocity_rad_s,shoulder_pan_joint_acceleration_rad_s2,shoulder_lift_joint_acceleration_rad_s2,elbow_joint_acceleration_rad_s2,wrist_1_joint_acceleration_rad_s2,wrist_2_joint_acceleration_rad_s2,wrist_3_joint_acceleration_rad_s2
0,0.4204879374118668,-0.04761297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.0,alginate_chitosan_pic_al1ch1_research,0.0,0.0,0.0016801885006648397,0.0021983676572886806,33,0.05445916117844498,0.24321911606772442,0.0,-0.4879691600663913,-1.5632780165316467,2.2260546343013465,-2.2343434075195003,-1.5690705351312455,-0.48909137158365196,0.0,0.0,0.0,0.0,0.0,0.0,-0.06708335515268433,3.4640643173949353,-3.844266833594835,0.88657206465284,-0.7985214062841012,0.5114229255536475
1,0.4213789374118668,-0.048516972339733164,0.10026,-3.141592653589793,1,0,0,0.02,0.27783411,alginate_chitosan_pic_al1ch1_research,0.27783411,0.00029172581550000005,0.00011377338490362587,0.0002789849945177744,2,0.055200331534541555,0.24434507673623707,0.063464497949642,-0.48810425730668683,-1.556301836994694,2.218312775847841,-2.232557965527443,-1.5706786544338707,-0.48806143165728855,-0.0021287057277713205,0.10992255138436943,-0.12198723228927807,0.028132925489685018,-0.025338880075931294,0.01622859960509969,0.033314470187255495,-1.7202995760412747,1.9091131105198682,-0.4402832647458707,0.3965561579767307,-0.25397930332579993
2,0.4223769374118668,-0.04932897233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.2816103999999999,alginate_chitosan_pic_al1ch1_research,0.2816103999999999,0.00029569091999999994,0.0012494585460151488,0.0002789849945177744,1,0.055200331534541555,0.24434507673623707,0.12779466194756778,-0.48810425730668683,-1.556301836994694,2.218312775847841,-2.232557965527443,-1.5706786544338707,-0.48806143165728855,0.0,0.0,0.0,0.0,0.0,0.0,-0.20290052129928715,1.4073467270321984,-1.451327242336467,0.053906284931346485,-0.009167279544578907,-0.1989296029303053
3,0.4234309374118668,-0.05000797233973316,0.10026,-3.141592653589793,1,0,0,0.02,0.27441861,alginate_chitosan_pic_al1ch1_research,0.27441861,0.00028813954050000004,0.00012932451445705023,0.0003056870171429313,2,0.055764188569351066,0.2446615126443414,0.19048351661887253,-0.4889120729437031,-1.5506987134269465,2.2125345509656205,-2.2323433463651945,-1.5707151524759535,-0.48885343772451545,-0.012886112551455381,0.08937990009749165,-0.09217308104474929,0.00342356170604178,-0.0005822094258094617,-0.012633921474233534,0.21597654602600944,-1.4980438848507347,1.5448587462765901,-0.0573803021993864,0.00975806942148057,0.2117497198533014
4,0.4244459374118668,-0.050510972339733166,0.10026,-3.141592653589793,1,0,0,0.02,0.24793646000000003,alginate_chitosan_pic_al1ch1_research,0.24793646000000003,0.000260333283,0.0010731331526723591,0.0003056870171429313,1,0.055764188569351066,0.2446615126443414,0.24712347601151288,-0.4889120729437031,-1.5506987134269465,2.2125345509656205,-2.2323433463651945,-1.5707151524759535,-0.48885343772451545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4251249374118668,-0.050793972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.16103362,alginate_chitosan_pic_al1ch1_research,0.16103362,0.000169085301,0.0018037432235766585,0.0003056870171429313,1,0.055764188569351066,0.2446615126443414,0.28390424544337695,-0.4889120729437031,-1.5506987134269465,2.2125345509656205,-2.2323433463651945,-1.5707151524759535,-0.48885343772451545,0.0,0.0,0.0,0.0,0.0,0.0,0.24980969582726611,2.473523080360598,-2.5474189072485833,0.06742121277104624,0.008360277394385966,0.24596063171787247
6,0.4262769374118668,-0.05115697233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.26436452999999993,alginate_chitosan_pic_al1ch1_research,0.26436452999999993,0.0002775827564999999,0.00011770069956454303,0.00029363067958243586,2,0.056495151295548565,0.24504186505391798,0.34429615301384475,-0.488179075922342,-1.5434408484182724,2.205059859220816,-2.232145517582072,-1.5706906215689063,-0.48813173471045007,0.01213733844233685,0.12017942967284669,-0.12376975733184989,0.0032757498658531844,0.0004061952674472821,0.011950326510605163,-0.20069574931374068,-1.9872149734374667,2.0465824783668887,-0.054165835204741386,-0.006716601333589565,-0.19760343216795012
7,0.4274649374118668,-0.05139297233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.26511017000000003,alginate_chitosan_pic_al1ch1_research,0.26511017000000003,0.00027836567850000004,0.0011467345214814042,0.00029363067958243586,1,0.056495151295548565,0.24504186505391798,0.40485686635178464,-0.488179075922342,-1.5434408484182724,2.205059859220816,-2.232145517582072,-1.5706906215689063,-0.48813173471045007,0.0,0.0,0.0,0.0,0.0,0.0,0.6771860707511015,2.149236047669017,-2.2449773209105097,0.10533647526832196,0.0017530585733727536,0.6726517761425981
8,0.4283619374118668,-0.05148997233973317,0.10026,-3.141592653589793,1,0,0,0.02,0.19747364000000012,alginate_chitosan_pic_al1ch1_research,0.19747364000000012,0.00020734732200000013,0.00012605477260253548,0.0003147664573852248,2,0.05701747932449573,0.2452924229568846,0.44996833939357206,-0.4865649934464575,-1.5383181142231728,2.1997089243611834,-2.2318944466192367,-1.570686443129265,-0.4865284597892159,0.035779866341082815,0.11355723610165445,-0.11861583093675818,0.005565567823568829,9.262476615001227e-05,0.03554029192859763,-0.7712906578347545,-2.447902809356637,2.5569486873063463,-0.11997446907551625,-0.00199667086887925,-0.7661262588276541
9,0.4293149374118668,-0.051515972339733165,0.10026,-3.141592653589793,1,0,0,0.02,0.20868224999999985,alginate_chitosan_pic_al1ch1_research,0.20868224999999985,0.00021911636249999985,0.0008736240144152573,0.0003147664573852248,1,0.05701747932449573,0.2452924229568846,0.49763606956818995,-0.4865649934464575,-1.5383181142231728,2.1997089243611834,-2.2318944466192367,-1.570686443129265,-0.4865284597892159,0.0,0.0,0.0,0.0,0.0,0.0,0.7357739507731593,1.509508162944005,-1.5814707180903904,0.0717596484175174,0.0034291628569189177,0.7333488099702336
